City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
3,Atuona,PF,79.0,scattered clouds,-9.8,-139.0333,Villa Enata
5,Sao Filipe,CV,75.56,clear sky,14.8961,-24.4956,Hotel Xaguate
6,Broome,US,73.53,broken clouds,42.2506,-75.833,Chenango Valley State Park
7,Rio Grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
8,Kahului,US,74.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
10,Itarema,BR,83.32,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
11,Jamestown,US,80.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Mar Del Plata,AR,76.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
17,Sao Gabriel Da Cachoeira,BR,78.6,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
20,Macau,MO,81.86,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
25,Kokoda,PG,72.21,light rain,-8.8785,147.7407,Daito Guest House
28,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
34,Sarakhs,IR,77.14,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
35,Hobyo,SO,84.54,few clouds,5.3505,48.5268,Iftin hotel hobyo
41,San Patricio,US,84.18,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
48,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
49,Castro,BR,76.15,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
50,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
51,Riyadh,SA,84.34,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
56,Victoria,HK,82.33,clear sky,22.2855,114.1577,Mini Hotel Central
57,Hilo,US,74.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
60,Rikitea,PF,73.71,moderate rain,-23.1203,-134.9692,People ThankYou
63,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
64,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Mana,GF,82.63,broken clouds,5.6592,-53.7767,LE SAMANA
67,Ponta Do Sol,PT,70.0,scattered clouds,32.6667,-17.1,Hotel do Campo
68,Labuhan,ID,79.07,overcast clouds,-6.8844,112.2051,DoubleFAG
70,Basoko,CD,74.79,overcast clouds,1.2391,23.616,Jackyna Hotel
74,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Conde,BR,81.86,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
83,Karratha,AU,79.9,light rain,-20.7377,116.8463,ibis Styles Karratha
90,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Samarai,PG,82.4,broken clouds,-10.6167,150.6667,Nuli Sapi
96,Faanui,PF,80.49,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Saint Augustine,US,83.05,scattered clouds,29.8947,-81.3145,St. George Inn
101,Hithadhoo,MV,84.94,overcast clouds,-0.6,73.0833,Scoop Guest House
105,Atambua,ID,71.01,few clouds,-9.1061,124.8925,Kost Alfa Flat
106,Ahuimanu,US,74.91,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
109,Port Hueneme,US,79.79,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
110,Neuquen,AR,75.09,light rain,-38.9516,-68.0591,Hotel del Comahue
111,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Breves,BR,78.3,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
115,Ca Mau,VN,81.32,scattered clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
116,Lazaro Cardenas,MX,82.87,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
117,Lompoc,US,75.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
127,Jadu,LY,78.39,few clouds,31.953,12.0261,امياس للصرافة
128,Mocuba,MZ,71.98,few clouds,-16.8392,36.9856,Phama Lodge
129,Butaritari,KI,79.27,light rain,3.0707,172.7902,Isles Sunset Lodge
130,Imbituba,BR,73.85,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
132,Biak,ID,76.86,broken clouds,-0.9131,122.8766,Penginapan Kim
138,Vao,NC,73.78,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
140,Dire Dawa,ET,72.84,broken clouds,9.5931,41.8661,Samrat Hotel
141,Caucaia,BR,84.15,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
142,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
144,Bambanglipuro,ID,78.49,overcast clouds,-7.95,110.2833,Puri Brata
147,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
160,Touros,BR,83.28,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
161,Cidreira,BR,71.02,clear sky,-30.1811,-50.2056,Hotel Castelo
165,Vanimo,PG,79.03,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
166,San Pedro,PH,83.43,few clouds,14.35,121.0167,Esquivel's Garden And Resort
167,Bud,US,79.32,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
171,Mount Pleasant,US,81.18,clear sky,32.7941,-79.8626,Best Western Patriots Point
179,Sinnamary,GF,81.61,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
180,Paragould,US,75.13,overcast clouds,36.0584,-90.4973,Linwood Motel
183,Antofagasta,CL,72.21,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
