City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Vardo,NO,70.3705,31.1107,37.38,87,75,9.22,broken clouds
Georgetown,MY,5.4112,100.3354,82.33,93,40,4.61,scattered clouds
Gornopravdinsk,RU,60.05,69.9,34.25,85,100,7.56,overcast clouds
Atuona,PF,-9.8,-139.0333,79.0,71,29,18.19,scattered clouds
Barra Do Garcas,BR,-15.89,-52.2567,90.23,45,99,5.53,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,75.56,70,8,4.45,clear sky
Broome,US,42.2506,-75.833,73.53,49,74,5.01,broken clouds
Rio Grande,BR,-32.035,-52.0986,78.91,49,1,16.06,clear sky
Kahului,US,20.8947,-156.47,74.84,76,40,13.8,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,42.96,70,100,4.14,overcast clouds
Itarema,BR,-2.9248,-39.9167,83.32,71,48,7.72,scattered clouds
Jamestown,US,42.097,-79.2353,80.02,33,20,9.22,few clouds
Tikhvin,RU,59.6451,33.5294,45.77,85,100,10.38,overcast clouds
Qaanaaq,GL,77.484,-69.3632,6.91,70,21,6.93,few clouds
Canico,PT,32.6333,-16.85,69.71,64,40,21.85,scattered clouds
Mar Del Plata,AR,-38.0023,-57.5575,76.95,58,0,13.8,clear sky
Shagonar,RU,51.5333,92.8,29.95,58,62,3.65,broken clouds
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,83,100,12.66,light rain
Hofn,IS,64.2539,-15.2082,50.02,71,20,12.66,few clouds
Hovd,MN,48.0056,91.6419,27.77,36,81,12.8,broken clouds
Macau,MO,22.2006,113.5461,81.86,94,40,8.05,scattered clouds
Miechow,PL,50.3565,20.0279,58.39,91,98,7.2,overcast clouds
Aksarka,RU,66.5606,67.7975,10.62,96,92,5.46,overcast clouds
Nikolskoye,RU,59.7035,30.7861,46.29,82,100,10.63,overcast clouds
Mataura,NZ,-46.1927,168.8643,52.48,91,100,5.53,overcast clouds
Kokoda,PG,-8.8785,147.7407,72.21,95,83,0.83,light rain
Punta Arenas,CL,-53.15,-70.9167,42.91,87,75,4.61,broken clouds
Kumano,JP,34.3442,132.5894,58.12,94,22,2.13,few clouds
Puerto Del Rosario,ES,28.5004,-13.8627,71.35,49,20,5.75,few clouds
Manzhouli,CN,49.6,117.4333,34.83,31,83,3.29,broken clouds
Ulaanbaatar,MN,47.9077,106.8832,44.73,24,75,6.71,broken clouds
Barrow,US,71.2906,-156.7887,6.82,78,0,10.36,clear sky
East London,ZA,-33.0153,27.9116,63.54,82,0,12.66,clear sky
Graaff-Reinet,ZA,-32.2522,24.5308,56.44,71,47,13.51,light rain
Sarakhs,IR,36.5449,61.1577,77.14,47,0,0.0,clear sky
Hobyo,SO,5.3505,48.5268,84.54,68,17,10.63,few clouds
Tomatlan,MX,19.9333,-105.25,86.99,35,3,5.86,clear sky
Leh,IN,34.1667,77.5833,42.46,29,36,3.96,scattered clouds
Lebu,CL,-37.6167,-73.65,52.93,92,100,13.6,overcast clouds
Waipawa,NZ,-41.4122,175.5153,51.53,87,99,8.05,light rain
Cootamundra,AU,-34.65,148.0333,56.95,91,100,9.1,overcast clouds
San Patricio,US,28.017,-97.5169,84.18,66,66,21.16,broken clouds
Akdepe,TM,42.0551,59.3788,66.29,27,0,7.16,clear sky
Kodiak,US,57.79,-152.4072,40.51,81,100,11.5,overcast clouds
Clyde River,CA,70.4692,-68.5914,5.23,85,100,6.91,overcast clouds
Ushuaia,AR,-54.8,-68.3,42.46,65,75,11.5,broken clouds
Leshukonskoye,RU,64.8989,45.7622,31.86,94,79,1.61,broken clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,70,9,16.6,light rain
Saint-Pierre,RE,-21.3393,55.4781,76.68,73,100,18.41,overcast clouds
Castro,BR,-24.7911,-50.0119,76.15,59,36,3.49,scattered clouds
Mahebourg,MU,-20.4081,57.7,75.49,78,75,14.97,broken clouds
Riyadh,SA,24.6877,46.7219,84.34,13,94,15.1,overcast clouds
Hermanus,ZA,-34.4187,19.2345,57.79,81,12,7.94,light rain
Odoyev,RU,53.9393,36.6864,47.25,95,100,7.76,overcast clouds
Busselton,AU,-33.65,115.3333,65.01,50,100,10.49,overcast clouds
Roald,NO,62.5833,6.1333,56.32,66,0,4.61,clear sky
Victoria,HK,22.2855,114.1577,82.33,87,5,10.0,clear sky
Hilo,US,19.7297,-155.09,74.28,91,75,9.22,broken clouds
Yellowknife,CA,62.456,-114.3525,23.56,63,0,12.66,clear sky
Ribeira Grande,PT,38.5167,-28.7,63.0,59,40,21.85,scattered clouds
Rikitea,PF,-23.1203,-134.9692,73.71,82,100,9.66,moderate rain
Ust-Kan,RU,50.9276,84.761,24.19,71,2,0.43,clear sky
Torbay,CA,47.6666,-52.7314,38.28,96,100,18.41,light rain
Ambon,ID,-3.6954,128.1814,80.74,83,40,4.61,scattered clouds
Kapaa,US,22.0752,-159.319,75.18,87,75,21.85,broken clouds
Mana,GF,5.6592,-53.7767,82.63,78,71,9.75,broken clouds
Ondjiva,AO,-17.0667,15.7333,86.04,23,20,4.61,few clouds
Ponta Do Sol,PT,32.6667,-17.1,70.0,61,31,7.87,scattered clouds
Labuhan,ID,-6.8844,112.2051,79.07,85,100,3.85,overcast clouds
Ayan,RU,56.45,138.1667,25.59,89,100,3.13,overcast clouds
Basoko,CD,1.2391,23.616,74.79,92,93,4.9,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,69.31,48,0,4.56,clear sky
Port-Cartier,CA,50.0334,-66.8654,44.71,77,32,7.49,scattered clouds
Pevek,RU,69.7008,170.3133,-0.02,99,99,3.85,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,76.59,79,99,15.35,light rain
Conde,BR,-7.2597,-34.9075,81.86,78,75,10.36,broken clouds
Saldanha,ZA,-33.0117,17.9442,60.85,81,0,17.07,clear sky
Nantucket,US,41.2835,-70.0995,51.94,56,0,13.8,clear sky
Praya,CV,14.9215,-23.5087,88.34,33,0,18.41,clear sky
Killarney,IE,52.05,-9.5167,60.85,59,20,10.36,few clouds
Alekseyevsk,RU,57.8406,108.3492,20.95,96,66,3.31,broken clouds
Dikson,RU,73.5069,80.5464,5.11,97,97,10.67,overcast clouds
Jabinyanah,TN,35.035,10.9081,69.6,60,71,15.66,broken clouds
Karratha,AU,-20.7377,116.8463,79.9,60,1,7.11,light rain
Bluff,NZ,-46.6,168.3333,52.81,83,80,18.88,broken clouds
Saskylakh,RU,71.9167,114.0833,-7.08,100,37,3.22,scattered clouds
Skibbereen,IE,51.55,-9.2667,55.11,75,100,15.77,overcast clouds
Ornskoldsvik,SE,63.2909,18.7153,47.35,49,15,5.75,few clouds
New Norfolk,AU,-42.7826,147.0587,54.91,85,73,1.41,broken clouds
Khatanga,RU,71.9667,102.5,-10.32,100,95,3.83,overcast clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,65,40,11.5,scattered clouds
Belyy Yar,RU,53.6039,91.3903,26.85,72,0,6.71,clear sky
Paihia,NZ,-35.2822,174.0912,56.32,94,33,5.91,scattered clouds
Samarai,PG,-10.6167,150.6667,82.4,74,61,10.74,broken clouds
Lagoa,PT,39.05,-27.9833,57.81,74,4,20.92,clear sky
Avera,US,33.194,-82.5271,77.38,52,96,7.23,overcast clouds
Faanui,PF,-16.4833,-151.75,80.49,71,57,5.57,broken clouds
Saint Augustine,US,29.8947,-81.3145,83.05,63,40,9.22,scattered clouds
Ulladulla,AU,-35.35,150.4667,61.7,84,98,4.65,overcast clouds
Vaini,TO,-21.2,-175.2,69.96,100,75,0.0,broken clouds
Solhan,TR,38.9634,41.0293,57.76,48,94,1.97,overcast clouds
Hithadhoo,MV,-0.6,73.0833,84.94,71,95,9.89,overcast clouds
Laguna,US,38.421,-121.4238,69.08,59,0,4.61,clear sky
Mount Isa,AU,-20.7333,139.5,65.97,100,75,8.05,broken clouds
Xichang,CN,27.8964,102.2634,63.81,86,83,3.65,broken clouds
Atambua,ID,-9.1061,124.8925,71.01,80,22,3.6,few clouds
Ahuimanu,US,21.4447,-157.8378,74.91,80,100,13.8,overcast clouds
Lethem,GY,3.3803,-59.7968,95.72,39,69,3.18,broken clouds
Vila Velha,BR,-20.3297,-40.2925,87.75,69,20,18.41,few clouds
Port Hueneme,US,34.1478,-119.1951,79.79,25,0,19.57,clear sky
Neuquen,AR,-38.9516,-68.0591,75.09,25,40,32.21,light rain
Puerto Ayora,EC,-0.7393,-90.3518,75.16,77,27,10.09,scattered clouds
Ostrovnoy,RU,68.0531,39.5131,35.4,98,100,14.67,light rain
Breves,BR,-1.6822,-50.4803,78.3,81,100,3.27,overcast clouds
Codrington,AU,-38.2667,141.9667,48.15,94,14,8.25,few clouds
Ca Mau,VN,9.1769,105.15,81.32,81,30,3.89,scattered clouds
Lazaro Cardenas,MX,17.9583,-102.2,82.87,53,55,7.02,broken clouds
Lompoc,US,34.6391,-120.4579,75.85,71,0,9.22,clear sky
Den Helder,NL,52.9599,4.7593,55.98,73,20,24.0,few clouds
Chernyshevskiy,RU,63.0128,112.4714,7.29,97,96,2.21,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,70,20,13.42,few clouds
Chokurdakh,RU,70.6333,147.9167,-15.68,100,85,3.56,overcast clouds
Kaeo,NZ,-35.1,173.7833,56.32,94,34,6.22,scattered clouds
Xingcheng,CN,40.6167,120.7167,52.93,84,87,3.0,overcast clouds
Cape Town,ZA,-33.9258,18.4232,61.21,70,20,13.8,few clouds
Provideniya,RU,64.3833,-173.3,23.49,77,5,3.47,clear sky
Lagos,NG,6.5833,3.75,80.92,75,100,5.55,overcast clouds
Jadu,LY,31.953,12.0261,78.39,13,19,10.18,few clouds
Mocuba,MZ,-16.8392,36.9856,71.98,98,21,3.78,few clouds
